Timestamp,ReportingGroup,LocationName,Value,Unit
01/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
01/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
01/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
01/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,20,kWh
01/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,31,kWh
01/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
01/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
01/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,17,kWh
01/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,15,kWh
01/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
01/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
01/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
01/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
01/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
01/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,22,kWh
01/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,14,kWh
01/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,22,kWh
01/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,12,kWh
01/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,51,kWh
01/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
01/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
01/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,12,kWh
01/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,13,kWh
01/31/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,12,kWh
02/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,21,kWh
02/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,59,kWh
02/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,30,kWh
02/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
02/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,11,kWh
02/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,13,kWh
02/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,8,kWh
02/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,17,kWh
02/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,33,kWh
02/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,15,kWh
02/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,14,kWh
02/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,6,kWh
02/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,8,kWh
02/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,7,kWh
02/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
02/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,4,kWh
02/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,9,kWh
02/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,3,kWh
03/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,15,kWh
03/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,32,kWh
03/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,97,kWh
03/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
03/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,17,kWh
03/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,17,kWh
03/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,3,kWh
03/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,9,kWh
03/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,34,kWh
03/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
03/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
03/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,9,kWh
03/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,11,kWh
03/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,14,kWh
03/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,16,kWh
03/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,19,kWh
03/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
03/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
03/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,4,kWh
03/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,5,kWh
03/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,16,kWh
03/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,25,kWh
03/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,14,kWh
03/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
03/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,8,kWh
03/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,33,kWh
03/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,18,kWh
03/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,19,kWh
03/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,15,kWh
03/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,28,kWh
03/31/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
04/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,11,kWh
04/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,11,kWh
04/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,11,kWh
04/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,33,kWh
04/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,37,kWh
04/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,84,kWh
04/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,67,kWh
04/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,14,kWh
04/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,20,kWh
04/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,43,kWh
04/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,61,kWh
04/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
